อาคาร/สถานที่,รวมการใช้ไฟฟ้า (kWh)
สถานีอัดประจุไฟฟ้า หน้าอาคารอธิการบดี,1966
สถานีอัดประจุไฟฟ้า บริเวณข้างสวนสุขภาพ,0
อาคารเรียน,945000
อาคารสัมมนา,798000
คณะพลังงานฯ,476000
อาคาร สนอ.,1181000
อาคารเรียนรวม 4,959000
อาคารเรียนรวม 3,758000
อาคารพหุวิทยาการ,2115000
ปั๊มน้ำและลานอเนกประสงค์,30831
อาคารคณะเทคโนโลยีสารสนเทศ,395000
สำนักงานหอสมุด,1182000
อาคารเรียนและปฏิบัติการพื้นฐานทางวิทยาศาสตร์,1759000
 (TOU),1447000
หอพัก,969000
ที่ตั้ง,รวมทั้งสิ้น
สถานีอัดประจุไฟฟ้า หน้าอาคารอธิการบดี,10040
สถานีอัดประจุไฟฟ้า บริเวณข้างสวนสุขภาพ,3944
อาคารเรียน,1065000
อาคารวิศววัฒนะ 11 ชั้น,2342000
"CB5, พระจอมเกล้า190ปี, วศ.เคมี",1996000
อาคารสัมมนา,954000
คณะพลังงานฯ,494000
อาคาร สนอ.,1216000
อาคารเรียนรวม 4,1057000
อาคารเรียนรวม 3,854000
อาคารพหุวิทยาการ,2149000
ปั๊มน้ำและลานอเนกประสงค์,20281
อาคารคณะเทคโนโลยีสารสนเทศ,457000
สำนักงานหอสมุด,1183000
อาคารเรียนและปฏิบัติการพื้นฐานทางวิทยาศาสตร์,2036000
 (TOU),1591000
หอพัก,1061000
ที่ตั้ง,รวมทั้งสิ้น
สถานีอัดประจุไฟฟ้า หน้าอาคารอธิการบดี,16012
สถานีอัดประจุไฟฟ้า บริเวณข้างสวนสุขภาพ,3703
อาคารเรียน,1012000
อาคารวิศววัฒนะ 11 ชั้น,2306000
"CB5, พระจอมเกล้า190ปี, วศ.เคมี",1913000
อาคารสัมมนา,818000
คณะพลังงานฯ,500000
อาคาร สนอ.,1123000
อาคารเรียนรวม 4,1024000
อาคารเรียนรวม 3,862000
อาคารพหุวิทยาการ,2189000
ปั๊มน้ำและลานอเนกประสงค์,20558
อาคารคณะเทคโนโลยีสารสนเทศ,533000
สำนักงานหอสมุด,1282000
อาคารเรียนและปฏิบัติการพื้นฐานทางวิทยาศาสตร์,1941000
 (TOU),1795000
หอพัก,1028000
ที่ตั้ง,รวมทั้งสิ้น
สถานีอัดประจุไฟฟ้า หน้าอาคารอธิการบดี,3748
สถานีอัดประจุไฟฟ้า บริเวณข้างสวนสุขภาพ,3367
อาคารเรียน,162000
อาคารวิศววัฒนะ 11 ชั้น,391000
"CB5, พระจอมเกล้า190ปี, วศ.เคมี",300000
อาคารสัมมนา,147000
คณะพลังงานฯ,78000
อาคาร สนอ.,183000
อาคารเรียนรวม 4,167000
อาคารเรียนรวม 3,152000
อาคารพหุวิทยาการ,347000
ปั๊มน้ำและลานอเนกประสงค์,3252
อาคารคณะเทคโนโลยีสารสนเทศ,94000
สำนักงานหอสมุด,226000
อาคารเรียนและปฏิบัติการพื้นฐานทางวิทยาศาสตร์,345000
 (TOU),312000
หอพัก,183000
